,Лига,Клуб,Имя,Номер игрока,Возраст,Позиция,Сыгранные матчи,Играл в основном составе,Завершенные матчи,Начинал со скамейки,Провел игру на скамейке,Кол-во минут,Желтые карточки,Красные карточки,Голы
681,Premier League,Norwich,Rupp,7,28,Полузащитник,12,8,1,4,4,699,1,0,0
682,Premier League,Norwich,Amadou,24,26,Полузащитник,11,8,7,3,9,757,1,0,0
683,Premier League,Norwich,Duda,25,25,Полузащитник,10,9,3,1,3,729,0,0,0
684,Premier League,Norwich,Leitner,10,27,Полузащитник,9,7,4,2,4,686,1,0,0
685,Premier League,Norwich,Klose,15,31,Центральный защитник,7,7,6,0,1,586,0,0,0
686,Premier League,Norwich,Idah,35,18,Центральный нападающий,12,1,0,11,5,220,0,0,0
687,Premier League,Norwich,Srbeny,32,25,Нападающий,8,0,0,8,10,41,0,0,1
688,Premier League,Norwich,Martin,56,18,Нападающий,5,0,0,5,3,32,0,0,0
689,Premier League,Norwich,Roberts,7,22,Нападающий,3,0,0,3,4,24,0,0,0
690,Premier League,Norwich,Thomas,41,18,Правый защитник,1,0,0,1,3,1,0,0,0
691,Premier League,Norwich,Famewo,43,21,Центральный защитник,1,0,0,1,2,1,0,0,0
692,Premier League,Norwich,Heise,16,28,Центральный защитник,0,0,0,0,2,0,0,0,0
693,Premier League,Norwich,Mair,60,18,Вратарь,0,0,0,0,2,0,0,0,0
694,Premier League,Norwich,Adshead,46,18,Полузащитник,0,0,0,0,1,0,0,0,0
695,Premier League,Norwich,Thompson,34,25,Полузащитник,0,0,0,0,0,0,0,0,0
696,Premier League,Norwich,Oxborough,38,21,Вратарь,0,0,0,0,0,0,0,0,0
697,Bundesliga,Bayern München,Neuer,1,33,Вратарь,33,33,33,0,1,2970,0,0,-31
698,Bundesliga,Bayern München,Pavard,5,23,Правый защитник,32,31,30,1,1,2790,5,0,5
699,Bundesliga,Bayern München,Davies,19,19,Левый защитник,29,24,20,5,4,2233,3,1,3
700,Bundesliga,Bayern München,Alaba,27,27,Центральный защитник,28,27,26,1,2,2498,0,0,1
701,Bundesliga,Bayern München,Boateng,17,31,Центральный защитник,24,23,14,1,6,1804,5,1,0
702,Bundesliga,Bayern München,Kimmich,32,24,Полузащитник,33,32,28,1,0,2822,7,0,3
703,Bundesliga,Bayern München,Thiago Alcántara,6,28,Полузащитник,24,20,15,4,1,1772,7,0,3
704,Bundesliga,Bayern München,Goretzka,18,24,Полузащитник,24,17,9,7,1,1513,2,0,6
705,Bundesliga,Bayern München,Lewandowski,9,31,Нападающий,31,31,29,0,0,2762,5,0,34
706,Bundesliga,Bayern München,Müller,25,30,Нападающий,33,26,14,7,0,2259,5,0,8
707,Bundesliga,Bayern München,Gnabry,22,24,Нападающий,31,26,11,5,2,2203,0,0,12
708,Bundesliga,Bayern München,Ulreich,26,31,Вратарь,1,1,1,0,33,90,1,0,-1
709,Bundesliga,Bayern München,Coman,29,23,Нападающий,24,17,8,7,2,1507,2,0,4
710,Bundesliga,Bayern München,Coutinho,10,27,Полузащитник,23,15,5,8,2,1413,0,0,8
711,Bundesliga,Bayern München,Perišić,14,30,Нападающий,22,11,4,11,3,1202,1,0,4
712,Bundesliga,Bayern München,Lucas Hernández,21,23,Левый защитник,19,10,6,9,2,915,3,0,0
713,Bundesliga,Bayern München,Hoffmann,39,20,Вратарь,0,0,0,0,0,0,0,0,0
714,Bundesliga,Bayern München,Javi Martínez,8,31,Полузащитник,16,6,3,10,6,669,4,1,0
715,Bundesliga,Bayern München,Tolisso,24,25,Полузащитник,13,7,3,6,9,637,0,0,1
716,Bundesliga,Bayern München,Süle,4,24,Центральный защитник,8,8,7,0,0,642,1,0,0
717,Bundesliga,Bayern München,Cuisance,11,20,Полузащитник,9,3,1,6,18,302,1,0,1
718,Bundesliga,Bayern München,Zirkzee,35,18,Центральный нападающий,9,3,1,6,12,294,0,0,4
719,Bundesliga,Bayern München,Odriozola,2,24,Правый защитник,3,2,0,1,13,153,0,0,0
720,Bundesliga,Bayern München,Singh,28,20,Полузащитник,2,1,0,1,8,72,0,0,0
721,Bundesliga,Bayern München,Mai,33,19,Центральный защитник,0,0,0,0,15,0,0,0,0
722,Bundesliga,Bayern München,Meier,34,18,Нападающий,1,0,0,1,10,12,0,0,0
723,Bundesliga,Bayern München,Dajaku,16,18,Нападающий,2,0,0,2,4,11,0,0,0
724,Bundesliga,Bayern München,Wriedt,38,25,Центральный нападающий,1,0,0,1,2,13,0,0,0
725,Bundesliga,Bayern München,Richards,41,19,Центральный защитник,1,0,0,1,1,6,0,0,0
726,Bundesliga,Bayern München,Musiala,42,16,Полузащитник,1,0,0,1,1,2,0,0,0
727,Bundesliga,Bayern München,Renato Sanches,35,22,Полузащитник,1,0,0,1,0,5,0,0,0
728,Bundesliga,Bayern München,Arp,15,19,Центральный нападающий,0,0,0,0,2,0,0,0,0
729,Bundesliga,Bayern München,Jeong,30,20,Нападающий,0,0,0,0,1,0,0,0,0
730,Bundesliga,Bayern München,Will,37,20,Полузащитник,0,0,0,0,1,0,0,0,0
731,Bundesliga,Bayern München,Tillman,40,17,Центральный нападающий,0,0,0,0,0,0,0,0,0
732,Bundesliga,Bayern München,Früchtl,36,19,Вратарь,0,0,0,0,0,0,0,0,0
733,Bundesliga,Bayern München,Arrey-Mbi,43,16,Центральный защитник,0,0,0,0,0,0,0,0,0
734,Bundesliga,Borussia Dortmund,Bürki,1,29,Вратарь,31,31,30,0,1,2771,0,0,-40
735,Bundesliga,Borussia Dortmund,Achraf,5,21,Правый защитник,33,29,25,4,0,2715,5,0,5
736,Bundesliga,Borussia Dortmund,Guerreiro,13,26,Левый защитник,29,26,18,3,3,2340,3,0,8
737,Bundesliga,Borussia Dortmund,Hummels,15,31,Центральный защитник,31,31,26,0,0,2586,7,1,1
738,Bundesliga,Borussia Dortmund,Akanji,16,24,Центральный защитник,29,25,24,4,2,2308,2,0,0
739,Bundesliga,Borussia Dortmund,Piszczek,26,34,Правый защитник,29,25,18,4,4,2110,3,0,1
740,Bundesliga,Borussia Dortmund,Brandt,19,23,Полузащитник,33,25,12,8,0,2211,0,0,3
741,Bundesliga,Borussia Dortmund,Witsel,28,30,Полузащитник,28,25,22,3,0,2245,4,0,4
742,Bundesliga,Borussia Dortmund,Hazard,23,26,Нападающий,33,28,11,5,0,2392,3,0,7
743,Bundesliga,Borussia Dortmund,Jadon Sancho,7,19,Нападающий,32,25,15,7,1,2290,2,0,17
744,Bundesliga,Borussia Dortmund,Reus,11,30,Нападающий,19,18,10,1,0,1502,1,0,11
745,Bundesliga,Borussia Dortmund,Hitz,35,32,Вратарь,4,3,3,1,27,289,0,0,-1
746,Bundesliga,Borussia Dortmund,Zagadou,2,20,Центральный защитник,15,10,10,5,10,980,1,0,1
747,Bundesliga,Borussia Dortmund,Håland,17,19,Нападающий,15,11,7,4,0,1063,0,0,13
748,Bundesliga,Borussia Dortmund,Weigl,33,24,Полузащитник,13,12,9,1,3,1021,4,0,1
749,Bundesliga,Borussia Dortmund,Delaney,6,28,Полузащитник,11,11,5,0,5,836,4,0,0
750,Bundesliga,Borussia Dortmund,Oelschlägel,40,24,Вратарь,0,0,0,0,3,0,0,0,0
751,Bundesliga,Borussia Dortmund,Götze,10,27,Полузащитник,15,5,1,10,12,516,0,0,3
752,Bundesliga,Borussia Dortmund,Emre Can,27,25,Полузащитник,12,10,7,2,0,956,5,0,2
753,Bundesliga,Borussia Dortmund,Dahoud,8,23,Полузащитник,12,6,1,6,15,557,1,0,0
754,Bundesliga,Borussia Dortmund,Schulz,14,26,Полузащитник,11,7,5,4,14,593,0,0,1
755,Bundesliga,Borussia Dortmund,Alcácer,9,26,Нападающий,11,6,3,5,3,528,0,0,5
756,Bundesliga,Borussia Dortmund,Reyna,32,17,Полузащитник,15,2,0,13,2,343,2,0,0
757,Bundesliga,Borussia Dortmund,Balerdi,18,20,Центральный защитник,7,1,0,6,17,128,1,0,0
758,Bundesliga,Borussia Dortmund,Morey,22,19,Правый защитник,5,2,1,3,16,195,0,0,0
759,Bundesliga,Borussia Dortmund,Schmelzer,29,31,Левый защитник,7,0,0,7,14,61,0,0,1
760,Bundesliga,Borussia Dortmund,Larsen,34,21,Полузащитник,4,0,0,4,11,64,0,0,0
761,Bundesliga,Borussia Dortmund,Raschl,37,19,Полузащитник,1,0,0,1,10,25,0,0,0
762,Bundesliga,Borussia Dortmund,Führich,33,21,Полузащитник,0,0,0,0,5,0,0,0,0
763,Bundesliga,Borussia Dortmund,Rente,3,22,Центральный защитник,0,0,0,0,4,0,0,0,0
764,Bundesliga,Borussia Dortmund,Pherai,30,18,Полузащитник,0,0,0,0,4,0,0,0,0
765,Bundesliga,Borussia Dortmund,Unbehaun,25,18,Вратарь,0,0,0,0,1,0,0,0,0
766,Bundesliga,Borussia Dortmund,Wolf,27,24,Нападающий,0,0,0,0,1,0,0,0,0
767,Bundesliga,Borussia Dortmund,Duman,34,22,Полузащитник,0,0,0,0,1,0,0,0,0
768,Bundesliga,Borussia Dortmund,Hupe,20,20,Вратарь,0,0,0,0,1,0,0,0,0
769,Bundesliga,Borussia Dortmund,Bakir,21,18,Нападающий,0,0,0,0,1,0,0,0,0
770,Bundesliga,Borussia Dortmund,Toprak,36,30,Центральный защитник,0,0,0,0,0,0,0,0,0
771,Bundesliga,Borussia Dortmund,Philipp,20,25,Полузащитник,0,0,0,0,0,0,0,0,0
772,Bundesliga,Borussia Dortmund,Sergio Gómez,17,19,Нападающий,0,0,0,0,0,0,0,0,0
773,Bundesliga,RB Leipzig,Gulácsi,1,29,Вратарь,32,32,32,0,0,2880,0,0,-34
774,Bundesliga,RB Leipzig,Mukiele,22,22,Правый защитник,25,21,15,4,8,1785,1,0,3
775,Bundesliga,RB Leipzig,Halstenberg,23,28,Левый защитник,29,28,25,1,1,2522,5,1,3
776,Bundesliga,RB Leipzig,Klostermann,16,23,Центральный защитник,31,31,27,0,2,2647,1,0,3
777,Bundesliga,RB Leipzig,Upamecano,5,21,Центральный защитник,28,27,24,1,0,2359,7,1,0
778,Bundesliga,RB Leipzig,Laimer,27,22,Полузащитник,29,26,16,3,2,2123,7,1,2
779,Bundesliga,RB Leipzig,Nkunku,18,22,Полузащитник,32,21,9,11,2,1926,2,0,5
780,Bundesliga,RB Leipzig,Forsberg,10,28,Полузащитник,22,14,4,8,8,1142,1,0,5
781,Bundesliga,RB Leipzig,Werner,11,23,Нападающий,34,33,19,1,0,2808,4,0,28
782,Bundesliga,RB Leipzig,Sabitzer,7,25,Нападающий,32,30,21,2,0,2507,4,0,9
783,Bundesliga,RB Leipzig,Schick,21,23,Нападающий,22,15,4,7,2,1302,3,0,10
784,Bundesliga,RB Leipzig,Mvogo,28,25,Вратарь,2,2,2,0,32,180,0,0,-3
785,Bundesliga,RB Leipzig,Poulsen,9,25,Нападающий,22,12,8,10,2,1217,2,0,5
786,Bundesliga,RB Leipzig,Demme,31,28,Полузащитник,17,14,10,3,0,1212,3,0,0
787,Bundesliga,RB Leipzig,Haidara,8,21,Полузащитник,19,5,3,14,15,743,1,0,0
788,Bundesliga,RB Leipzig,Angeliño,3,22,Левый защитник,13,12,11,1,1,1095,2,0,1
789,Bundesliga,RB Leipzig,Tschauner,33,34,Вратарь,0,0,0,0,3,0,0,0,0
790,Bundesliga,RB Leipzig,Adams,14,20,Полузащитник,14,10,4,4,1,955,0,0,0
791,Bundesliga,RB Leipzig,Orban,4,27,Центральный защитник,12,9,9,3,6,853,0,0,1
792,Bundesliga,RB Leipzig,Dani Olmo,25,21,Нападающий,12,9,1,3,3,752,1,0,3
793,Bundesliga,RB Leipzig,Kampl,44,29,Нападающий,11,8,2,3,3,677,1,0,2
794,Bundesliga,RB Leipzig,Lookman,17,22,Нападающий,11,1,1,10,19,299,0,0,0
795,Bundesliga,RB Leipzig,Konaté,6,20,Центральный защитник,8,6,6,2,4,568,2,0,0
796,Bundesliga,RB Leipzig,Ilsanker,13,30,Полузащитник,6,5,4,1,12,418,2,0,0
797,Bundesliga,RB Leipzig,Matheus Cunha,20,20,Нападающий,10,2,0,8,7,273,0,0,0
798,Bundesliga,RB Leipzig,Wolf,19,20,Полузащитник,5,0,0,5,13,53,0,0,0
799,Bundesliga,RB Leipzig,Saracchi,3,21,Левый защитник,4,1,1,3,7,176,1,0,1
800,Bundesliga,RB Leipzig,Ampadu,26,19,Центральный защитник,3,0,0,3,17,78,0,0,0
801,Bundesliga,RB Leipzig,Krauß,53,18,Полузащитник,1,0,0,1,9,3,0,0,0
802,Bundesliga,RB Leipzig,Borkowski,41,17,Центральный нападающий,1,0,0,1,0,8,0,0,0
803,Bundesliga,RB Leipzig,Hartmann,35,18,Нападающий,0,0,0,0,1,0,0,0,0
804,Bundesliga,RB Leipzig,Jäkel,37,18,Центральный защитник,0,0,0,0,1,0,0,0,0
805,Bundesliga,RB Leipzig,Wosz,47,17,Полузащитник,0,0,0,0,0,0,0,0,0
806,Bundesliga,RB Leipzig,Augustin,29,22,Нападающий,0,0,0,0,0,0,0,0,0
807,Bundesliga,RB Leipzig,Luan Cândido,36,18,Левый защитник,0,0,0,0,0,0,0,0,0
808,Bundesliga,RB Leipzig,Novoa,38,16,Центральный нападающий,0,0,0,0,0,0,0,0,0
809,Bundesliga,Borussia Mönchengladbach,Sommer,1,31,Вратарь,34,34,34,0,0,3060,0,0,-40
810,Bundesliga,Borussia Mönchengladbach,Lainer,18,27,Правый защитник,31,31,27,0,0,2714,9,0,1
811,Bundesliga,Borussia Mönchengladbach,Wendt,17,34,Левый защитник,25,18,16,7,8,1676,3,0,2
812,Bundesliga,Borussia Mönchengladbach,Ginter,28,25,Центральный защитник,31,31,30,0,0,2781,2,0,1
813,Bundesliga,Borussia Mönchengladbach,Elvedi,30,23,Центральный защитник,32,30,25,2,0,2621,5,0,1
814,Bundesliga,Borussia Mönchengladbach,Neuhaus,32,22,Полузащитник,30,26,17,4,3,2362,6,0,4
815,Bundesliga,Borussia Mönchengladbach,Zakaria,8,23,Полузащитник,23,22,21,1,0,1947,7,0,2
816,Bundesliga,Borussia Mönchengladbach,Hofmann,23,27,Полузащитник,24,18,12,6,3,1632,3,0,5
817,Bundesliga,Borussia Mönchengladbach,Thuram,10,22,Нападающий,31,28,10,3,0,2217,3,0,10
818,Bundesliga,Borussia Mönchengladbach,Pléa,14,26,Нападающий,27,25,16,2,1,2151,2,2,10
819,Bundesliga,Borussia Mönchengladbach,Embolo,36,22,Нападающий,28,17,5,11,1,1551,4,0,8
820,Bundesliga,Borussia Mönchengladbach,Sippel,21,31,Вратарь,0,0,0,0,30,0,0,0,0
821,Bundesliga,Borussia Mönchengladbach,Herrmann,7,28,Полузащитник,27,16,6,11,7,1452,4,0,6
822,Bundesliga,Borussia Mönchengladbach,Kramer,6,28,Полузащитник,22,17,12,5,11,1464,4,0,0
823,Bundesliga,Borussia Mönchengladbach,Stindl,13,31,Нападающий,25,14,2,11,2,1434,4,0,9
824,Bundesliga,Borussia Mönchengladbach,Bensebaini,25,24,Левый защитник,19,16,12,3,7,1450,7,1,5
825,Bundesliga,Borussia Mönchengladbach,Grün,31,32,Вратарь,0,0,0,0,4,0,0,0,0
826,Bundesliga,Borussia Mönchengladbach,Bénes,22,22,Полузащитник,22,10,5,12,9,891,3,0,0
827,Bundesliga,Borussia Mönchengladbach,Jantschke,24,29,Центральный защитник,17,11,6,6,11,1012,6,0,0
828,Bundesliga,Borussia Mönchengladbach,Strobl,5,29,Полузащитник,10,6,4,4,9,613,1,0,0
829,Bundesliga,Borussia Mönchengladbach,Raffael,11,34,Нападающий,8,0,0,8,19,58,0,0,0
830,Bundesliga,Borussia Mönchengladbach,Traoré,16,31,Полузащитник,7,1,0,6,13,147,0,0,0
831,Bundesliga,Borussia Mönchengladbach,Johnson,19,32,Полузащитник,6,3,0,3,6,272,0,0,0
832,Bundesliga,Borussia Mönchengladbach,Beyer,15,19,Правый защитник,3,0,0,3,8,107,1,0,0
833,Bundesliga,Borussia Mönchengladbach,Doucouré,4,21,Центральный защитник,2,0,0,2,6,2,0,0,0
834,Bundesliga,Borussia Mönchengladbach,Müsel,26,20,Нападающий,1,0,0,1,3,1,0,0,0
835,Bundesliga,Borussia Mönchengladbach,Bennetts,37,20,Нападающий,1,0,0,1,2,1,0,0,0
836,Bundesliga,Borussia Mönchengladbach,Quizera,27,17,Полузащитник,0,0,0,0,7,0,0,0,0
837,Bundesliga,Borussia Mönchengladbach,Makridis,44,23,Центральный нападающий,0,0,0,0,4,0,0,0,0
838,Bundesliga,Borussia Mönchengladbach,Poulsen,40,20,Левый защитник,0,0,0,0,3,0,0,0,0
839,Bundesliga,Borussia Mönchengladbach,Kurt,33,18,Полузащитник,0,0,0,0,3,0,0,0,0
840,Bundesliga,Borussia Mönchengladbach,Lang,3,28,Правый защитник,0,0,0,0,1,0,0,0,0
841,Bundesliga,Borussia Mönchengladbach,Herzog,39,21,Полузащитник,0,0,0,0,1,0,0,0,0
842,Bundesliga,Borussia Mönchengladbach,Noß,34,18,Нападающий,0,0,0,0,1,0,0,0,0
843,Bundesliga,Borussia Mönchengladbach,Villalba,20,21,Нападающий,0,0,0,0,0,0,0,0,0
844,Bundesliga,Borussia Mönchengladbach,Cuisance,27,20,Полузащитник,0,0,0,0,0,0,0,0,0
845,Bundesliga,Bayer Leverkusen,Hrádecký,1,30,Вратарь,34,34,34,0,0,3060,1,0,-44
846,Bundesliga,Bayer Leverkusen,Bender,5,30,Центральный защитник,33,33,28,0,1,2731,3,0,2
847,Bundesliga,Bayer Leverkusen,Wendell,18,26,Левый защитник,24,21,17,3,5,1904,5,1,0
848,Bundesliga,Bayer Leverkusen,Tah,4,23,Центральный защитник,25,22,21,3,6,2090,4,1,0
849,Bundesliga,Bayer Leverkusen,Aránguiz,20,30,Полузащитник,27,23,14,4,0,2123,2,0,1
850,Bundesliga,Bayer Leverkusen,Baumgartlinger,15,31,Полузащитник,27,20,13,7,2,1791,4,0,2
851,Bundesliga,Bayer Leverkusen,Demirbay,10,26,Полузащитник,25,18,8,7,7,1576,3,1,1
852,Bundesliga,Bayer Leverkusen,Havertz,29,20,Нападающий,30,29,20,1,1,2462,3,0,12
853,Bundesliga,Bayer Leverkusen,Volland,31,27,Нападающий,27,24,17,3,1,2051,3,0,10
854,Bundesliga,Bayer Leverkusen,Amiri,11,23,Нападающий,30,22,11,8,4,1860,3,0,1
855,Bundesliga,Bayer Leverkusen,Diaby,19,20,Нападающий,28,18,12,10,6,1767,3,0,5
856,Bundesliga,Bayer Leverkusen,Özcan,28,35,Вратарь,0,0,0,0,34,0,0,0,0
857,Bundesliga,Bayer Leverkusen,Bellarabi,38,29,Полузащитник,26,17,6,9,2,1427,2,0,4
858,Bundesliga,Bayer Leverkusen,Alario,13,27,Нападающий,24,11,7,13,9,1165,6,0,7
859,Bundesliga,Bayer Leverkusen,Bender,8,30,Правый защитник,18,16,12,2,2,1375,3,0,2
860,Bundesliga,Bayer Leverkusen,Bailey,9,22,Нападающий,22,12,1,10,1,1093,0,2,5
861,Bundesliga,Bayer Leverkusen,Lomb,36,26,Вратарь,0,0,0,0,5,0,0,0,0
862,Bundesliga,Bayer Leverkusen,Weiser,23,25,Правый защитник,18,14,10,4,8,1171,3,0,1
863,Bundesliga,Bayer Leverkusen,Dragović,6,28,Центральный защитник,15,10,7,5,17,1027,6,1,0
864,Bundesliga,Bayer Leverkusen,Sinkgraven,22,24,Левый защитник,13,11,5,2,12,913,1,0,0
865,Bundesliga,Bayer Leverkusen,Tapsoba,12,20,Центральный защитник,14,12,11,2,0,1057,2,0,0
866,Bundesliga,Bayer Leverkusen,Paulinho,7,19,Нападающий,13,1,1,12,16,293,1,0,3
867,Bundesliga,Bayer Leverkusen,Wirtz,27,16,Полузащитник,7,3,1,4,2,365,0,0,1
868,Bundesliga,Bayer Leverkusen,Retsos,3,21,Центральный защитник,3,1,0,2,15,114,0,0,0
869,Bundesliga,Bayer Leverkusen,Palacios,25,21,Полузащитник,3,2,1,1,7,177,0,0,0
870,Bundesliga,Bayer Leverkusen,Pohjanpalo,17,25,Нападающий,1,0,0,1,7,1,0,0,0
871,Bundesliga,Bayer Leverkusen,Stanilewicz,30,19,Полузащитник,0,0,0,0,11,0,0,0,0
872,Bundesliga,Bayer Leverkusen,Azhil,32,18,Полузащитник,0,0,0,0,4,0,0,0,0
873,Bundesliga,Bayer Leverkusen,Jedvaj,16,24,Центральный защитник,0,0,0,0,1,0,0,0,0
874,Bundesliga,Bayer Leverkusen,Boller,33,19,Центральный защитник,0,0,0,0,0,0,0,0,0
875,Bundesliga,Hoffenheim,Baumann,1,29,Вратарь,30,30,30,0,0,2700,1,0,-49
876,Bundesliga,Hoffenheim,Kadeřábek,3,27,Правый защитник,30,28,24,2,3,2476,2,0,2
877,Bundesliga,Hoffenheim,Posch,38,22,Центральный защитник,28,27,19,1,4,2316,9,0,0
878,Bundesliga,Hoffenheim,Hübner,21,30,Центральный защитник,25,25,20,0,2,2075,5,2,1
879,Bundesliga,Hoffenheim,Bičakčić,4,29,Центральный защитник,21,13,9,8,13,1172,0,0,2
880,Bundesliga,Hoffenheim,Rudy,16,29,Полузащитник,32,31,25,1,1,2739,9,0,1
881,Bundesliga,Hoffenheim,Baumgartner,14,20,Полузащитник,26,17,6,9,6,1495,3,0,7
882,Bundesliga,Hoffenheim,Samassekou,18,23,Полузащитник,21,16,10,5,5,1311,4,0,0
883,Bundesliga,Hoffenheim,Skov,29,23,Нападающий,31,29,23,2,1,2612,4,0,4
884,Bundesliga,Hoffenheim,Grillitsch,11,24,Нападающий,31,28,20,3,0,2412,3,0,0
885,Bundesliga,Hoffenheim,Bebou,9,25,Нападающий,32,20,15,12,1,2095,1,0,6
886,Bundesliga,Hoffenheim,Pentke,12,34,Вратарь,4,4,4,0,30,360,1,0,-4
887,Bundesliga,Hoffenheim,Geiger,8,21,Полузащитник,21,13,3,8,5,1138,3,0,0
888,Bundesliga,Hoffenheim,Kramarić,27,28,Нападающий,19,14,12,5,1,1419,3,0,12
889,Bundesliga,Hoffenheim,Akpoguma,25,24,Центральный защитник,18,12,11,6,14,1137,2,0,0
890,Bundesliga,Hoffenheim,Dabbur,10,27,Центральный нападающий,14,11,1,3,0,773,4,0,4
891,Bundesliga,Hoffenheim,Esser,28,32,Вратарь,0,0,0,0,4,0,0,0,0
892,Bundesliga,Hoffenheim,Zuber,17,28,Полузащитник,14,10,3,4,4,754,1,0,2
893,Bundesliga,Hoffenheim,Vogt,22,28,Полузащитник,11,11,10,0,2,961,2,0,0
894,Bundesliga,Hoffenheim,Adamyan,23,26,Нападающий,15,6,2,9,3,743,1,0,5
895,Bundesliga,Hoffenheim,Nordtveit,6,29,Центральный защитник,11,7,6,4,14,698,2,0,0
896,Bundesliga,Hoffenheim,Locadia,37,26,Нападающий,11,5,2,6,5,526,1,0,4
897,Bundesliga,Hoffenheim,Larsen,7,21,Полузащитник,11,5,0,6,2,390,0,0,0
898,Bundesliga,Hoffenheim,Stafylidis,5,26,Левый защитник,7,4,3,3,14,396,0,0,1
899,Bundesliga,Hoffenheim,Rupp,7,28,Полузащитник,7,4,0,3,8,341,0,0,0
900,Bundesliga,Hoffenheim,Belfodil,19,27,Нападающий,5,3,1,2,0,269,0,0,0
901,Bundesliga,Hoffenheim,Beier,35,17,Нападающий,6,0,0,6,7,103,1,0,0
902,Bundesliga,Hoffenheim,Lucas Ribeiro,31,20,Центральный защитник,2,0,0,2,18,63,1,0,1
903,Bundesliga,Hoffenheim,Bogarde,32,17,Центральный защитник,2,1,0,1,4,51,1,0,0
904,Bundesliga,Hoffenheim,Elmkies,41,19,Полузащитник,1,0,0,1,2,1,0,0,0
905,Bundesliga,Hoffenheim,Brenet,2,25,Левый защитник,0,0,0,0,7,0,0,0,0
906,Bundesliga,Hoffenheim,Bittencourt,13,26,Полузащитник,1,0,0,1,1,2,1,0,0
907,Bundesliga,Hoffenheim,Grifo,32,26,Полузащитник,1,0,0,1,0,14,0,0,0
908,Bundesliga,Hoffenheim,Žulj,20,27,Полузащитник,0,0,0,0,4,0,0,0,0
909,Bundesliga,Hoffenheim,Szalai,28,32,Нападающий,0,0,0,0,1,0,0,0,0
910,Bundesliga,Hoffenheim,Ekene,37,20,Нападающий,0,0,0,0,1,0,0,0,0
911,Bundesliga,Hoffenheim,Ochs,30,22,Полузащитник,0,0,0,0,0,0,0,0,0
912,Bundesliga,Hoffenheim,Stolz,33,36,Вратарь,0,0,0,0,0,0,0,0,0
913,Bundesliga,Hoffenheim,Kasim,15,24,Центральный защитник,0,0,0,0,0,0,0,0,0
914,Bundesliga,Hoffenheim,Amiri,18,23,Нападающий,0,0,0,0,0,0,0,0,0
915,Bundesliga,Wolfsburg,Casteels,1,27,Вратарь,26,26,26,0,0,2340,1,0,-38
916,Bundesliga,Wolfsburg,Mbabu,19,24,Правый защитник,20,18,18,2,13,1695,4,0,3
917,Bundesliga,Wolfsburg,Roussillon,15,26,Левый защитник,29,27,21,2,2,2368,4,0,1
918,Bundesliga,Wolfsburg,Brooks,25,26,Центральный защитник,25,25,23,0,5,2226,4,0,0
919,Bundesliga,Wolfsburg,Arnold,27,25,Полузащитник,33,32,26,1,0,2826,8,0,4
920,Bundesliga,Wolfsburg,Guilavogui,23,29,Полузащитник,25,23,20,2,1,2063,6,1,0
921,Bundesliga,Wolfsburg,Schlager,24,22,Полузащитник,23,21,14,2,2,1724,4,0,1
922,Bundesliga,Wolfsburg,Steffen,8,28,Полузащитник,27,19,6,8,5,1590,6,0,6
923,Bundesliga,Wolfsburg,Weghorst,9,27,Нападающий,32,30,27,2,0,2740,7,0,16
924,Bundesliga,Wolfsburg,Brekalo,7,21,Нападающий,30,19,3,11,4,1675,0,0,3
925,Bundesliga,Wolfsburg,João Victor,40,25,Нападающий,32,18,4,14,2,1630,4,0,2
926,Bundesliga,Wolfsburg,Pervan,12,32,Вратарь,8,8,8,0,26,720,0,0,-8
927,Bundesliga,Wolfsburg,Knoche,31,27,Центральный защитник,21,17,15,4,13,1592,2,0,1
928,Bundesliga,Wolfsburg,Mehmedi,14,28,Нападающий,21,14,2,7,0,1205,0,0,2
929,Bundesliga,Wolfsburg,William,2,24,Правый защитник,16,16,14,0,5,1365,0,0,1
930,Bundesliga,Wolfsburg,Tisserand,32,26,Центральный защитник,15,14,12,1,14,1205,7,1,1
931,Bundesliga,Wolfsburg,Menzel,36,21,Вратарь,0,0,0,0,8,0,0,0,0
932,Bundesliga,Wolfsburg,Klaus,11,27,Полузащитник,23,6,0,17,8,661,0,1,0
933,Bundesliga,Wolfsburg,Ginczek,33,28,Нападающий,18,9,0,9,3,769,2,0,3
934,Bundesliga,Wolfsburg,Gerhardt,13,25,Полузащитник,18,7,5,11,12,820,1,0,2
935,Bundesliga,Wolfsburg,Pongracic,22,22,Центральный защитник,11,11,9,0,1,930,4,1,2
936,Bundesliga,Wolfsburg,Bruma,5,28,Центральный защитник,9,9,9,0,6,810,1,0,0
937,Bundesliga,Wolfsburg,Paulo Otávio,6,25,Левый защитник,5,4,3,1,7,380,3,0,0
938,Bundesliga,Wolfsburg,Nmecha,22,21,Центральный нападающий,6,1,0,5,6,127,1,0,0
939,Bundesliga,Wolfsburg,Marmoush,29,20,Центральный нападающий,5,0,0,5,4,76,0,0,0
940,Bundesliga,Wolfsburg,Rexhbecaj,37,22,Полузащитник,0,0,0,0,12,0,0,0,0
941,Bundesliga,Wolfsburg,Horn,20,21,Полузащитник,1,0,0,1,5,5,0,0,0
942,Bundesliga,Wolfsburg,Justvan,43,21,Полузащитник,0,0,0,0,9,0,0,0,0
943,Bundesliga,Wolfsburg,Malli,10,27,Полузащитник,0,0,0,0,9,0,0,0,0
944,Bundesliga,Wolfsburg,May,44,21,Полузащитник,0,0,0,0,6,0,0,0,0
